Index,Category,Claim
570,"Public authority actions, policy, and communications","“Go to 2020census.gov and fill out this census form so you can get your stimulus check.”		"
571,Claims about prominent actors,"A screenshot of a Nigerian television station showing a breakdown of “472 confirmed cases” has been shared on Facebook, Twitter, and WhatsApp alongside claims it shows novel coronavirus cases across the country.		"
572,"Public preparedness, protests, and civil disobedience","A video has been viewed hundreds of thousands of times on Facebook, Twitter and YouTube alongside a claim that it shows a drone launching fireworks at people who breached a curfew in Malaysia during a nationwide coronavirus lockdown.		"
573,Claims about prominent actors,"An image shows a Spanish scientist asking Cristiano Ronaldo and Messi to find the cure for COVID-19.		"
574,Community spread and impact,"Second-hand clothes and blankets sold cheaply in African markets are infected with coronavirus.		"
575,"Vaccines, medical treatments, and tests","A WhatsApp forward claimed that a vaccine for coronavirus has been discovered and that the treatment for coronavirus is mentioned in an Intermediate Zoology book.		"
576,"Public preparedness, protests, and civil disobedience","Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.		"
577,"Public preparedness, protests, and civil disobedience","Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.		"
578,"Public preparedness, protests, and civil disobedience","Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.		"
579,"Public authority actions, policy, and communications","Multiple Facebook and Twitter posts shared thousands of times by Australian social media users claim people with pre-existing respiratory conditions will be given a “rescue pack” of medication from their general practitioners during the novel coronavirus pandemic.		"
580,Community spread and impact,"A photo of a man and woman embracing has been shared on Facebook and Twitter alongside a claim that it shows two Italian doctors who died from COVID-19 after contracting the disease from the patients they treated.		"
581,"Public authority actions, policy, and communications","Helicopters are spraying disinfectants to stop the spread of coronavirus.		"
582,Community spread and impact,"IPhoto shows people falling dead on Italian streets from COVID-19.		"
583,Community spread and impact,"Black people are immune to the coronavirus.		"
584,Medical advice and self-treatments,"Boiled orange peels with cayenne pepper are a cure for coronavirus.		"
585,Virus origin and properties,"COVID-19 stands for “Chinese Originated Viral Infectious Disease.”		"
586,"Public authority actions, policy, and communications","NY Governor Andrew Cuomo did not reject buying 16,000 ventilators in 2015.		"
587,Claims about prominent actors,"Sophie Trudeau is sharing her COVID-19 experience.		"
588,Claims about prominent actors,"A positive COVID-19 patient recently met Narendra Modi.		"
589,Community spread and impact,"A line of coffins suggesting they are from Italy currently.		"
590,Medical advice and self-treatments,"Cow urine is helpful to fight coronavirus.		"
591,"Public authority actions, policy, and communications","Banglore Municipal body (BBMP) will be spraying medicine in the air to kill coronavirus.		"
592,Community spread and impact,"Sick COVID-19 patients at the airport runway in Senegal.		"
593,Community spread and impact,"Image claims that dead bodies from Italy are kept in a room.		"
594,Medical advice and self-treatments,"Consuming alcoholic beverages may help reduce the risk of infection by the novel coronavirus.		"
595,Claims about prominent actors,"Bill Gates and the Vatican have a plan to depopulate the world with a coronavirus vaccine.		"
596,"Public authority actions, policy, and communications","US Homeland Security mobilizing National Guard to combat coronavirus.		"
597,Claims about prominent actors,"Joe Biden tested positive for coronavirus.		"
598,Virus transmission,"Coronavirus cases linked to 5G rollout.		"
599,Community spread and impact,"Photo shows coffins from coronavirus outbreak in Italy.		"
600,"Public authority actions, policy, and communications","Seeing the rise of novel coronavirus in India, the WHO has recommended the government of India lockdown the country from 4/15/20 to 6/15/20.		"
601,Claims about prominent actors,"A WhatsApp video claims that the lady shown is the wife of Canada’s PM Justin Trudeau. In the viral video, a lady can be seen describing her improved condition because of medication and also warns to not take chances.		"
602,"Public authority actions, policy, and communications","Doctors are giving out “rescue packs” for people with pre-existing respiratory conditions.		"
603,Claims about prominent actors,"“If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.”		"
604,"Public authority actions, policy, and communications","Fill out a 2020 U.S. Census form to receive an economic stimulus payment.		"
605,Claims about prominent actors,"A photo circulating on Facebook in Nigeria appears to show President Muhammadu Buhari shaking hands with the nation’s Code of Conduct Bureau Chairman Mohammed Isa while both men are wearing face masks — seemingly against precautions during the novel coronavirus pandemic.		"
