,Claim,Keywords
492,Image attributed to Italian Prime Minister suggesting Italy has lost control   ,"['image', 'attributed', 'italian', 'prime', 'minister', 'suggesting', 'italy', 'lost', 'control']"
493,The CDC now says that the coronavirus can survive on surfaces for up to    days   ,"['coronavirus', 'survive', 'surface']"
494, Donald Trump would receive     million for three hotels closed for four days under Republican bill  How in the hell is this right     ,"['donald', 'trump', 'would', 'receive', 'million', 'three', 'hotel', 'closed', 'four', 'republican', 'bill', 'hell', 'right']"
495,Vladimir Putin let lions loose in the streets of Russia to keep them indoors amid COVID      ,"['vladimir', 'putin', 'lion', 'loose', 'street', 'russia', 'keep', 'indoors', 'amid', 'covid']"
496,Coronavirus has gripped Italy and nobody is willing to carry corpses off Italy s streets   ,"['coronavirus', 'gripped', 'italy', 'nobody', 'willing', 'carry', 'corps', 'italy', 'street']"
497,Italian police are being brutal on people not following lockdowns  India should follow   ,"['italian', 'police', 'brutal', 'people', 'following', 'lockdown', 'india', 'follow']"
498, Special military helicopters will spray pesticide against the coronavirus in the skies all over the country    ,"['special', 'military', 'helicopter', 'spray', 'pesticide', 'coronavirus', 'country']"
499, Putin has stated  Russian citizens  have    options  Stay home for    days or in jail for   years    ,"['putin', 'stated', 'russian', 'citizen', 'option', 'stay', 'home', 'jail', 'year']"
500, Slices of lemon in a cup of hot water can save your life  The hot lemon can kill the proliferation of  the novel coronavirus   ,"['slice', 'lemon', 'water', 'save', 'life', 'lemon', 'kill', 'proliferation', 'novel', 'coronavirus']"
501,Footage purportedly showing a looting spree in Mexico prompted by panic over the novel coronavirus was aired on multiple Facebook live streams and viewed by tens of thousands of people during the week of          Posts sharing the streams claimed that the chaotic scene was happening in real time   ,"['footage', 'purportedly', 'showing', 'looting', 'spree', 'mexico', 'prompted', 'panic', 'novel', 'coronavirus', 'aired', 'multiple', 'facebook', 'live', 'stream', 'viewed', 'thousand', 'people', 'week', 'post', 'sharing', 'stream', 'claimed', 'chaotic', 'scene', 'happening', 'real', 'time']"
502,Photographs shared hundreds of times online purport to show the coffins of Italian victims of the novel coronavirus pandemic   ,"['photograph', 'shared', 'hundred', 'time', 'online', 'purport', 'show', 'coffin', 'italian', 'victim', 'novel', 'coronavirus', 'pandemic']"
503,A video of former Iraqi dictator Saddam Hussein has been shared repeatedly on Facebook  Twitter and Instagram alongside a claim it shows him stating the U S threatened to spread the novel coronavirus in Iraq during a meeting in the     s                 ,"['former', 'iraqi', 'dictator', 'saddam', 'hussein', 'shared', 'repeatedly', 'facebook', 'twitter', 'instagram', 'alongside', 'claim', 'show', 'stating', 'threatened', 'spread', 'novel', 'coronavirus', 'iraq', 'meeting']"
504,George Soros is one of the people responsible for the new coronavirus  born in a laboratory   ,"['george', 'soros', 'people', 'responsible', 'coronavirus', 'born', 'laboratory']"
505,Photo shows dozens of wooden coffins of people dead from the coronavirus in Italy   ,"['photo', 'show', 'dozen', 'wooden', 'coffin', 'people', 'dead', 'coronavirus', 'italy']"
506,South African mayor claimed that Interferon alpha  b is a vaccine for the new coronavirus   ,"['south', 'african', 'mayor', 'claimed', 'interferon', 'alpha', 'vaccine', 'coronavirus']"
507,A video has been viewed tens of thousands of times on Facebook  Twitter and YouTube alongside a claim it shows Italian nationals expressing their gratitude to China for providing aid during the novel coronavirus pandemic   ,"['viewed', 'thousand', 'time', 'facebook', 'twitter', 'youtube', 'alongside', 'claim', 'show', 'italian', 'national', 'expressing', 'gratitude', 'china', 'providing', 'novel', 'coronavirus', 'pandemic']"
508,A WhatsApp forward claimed that a vaccine for coronavirus has been discovered  It also claims that the treatment for coronavirus is mentioned in India s Intermediate Zoology book  The viral forward reads   It is not a new disease as it is already mentioned in the Intermediate Zoology book along with its treatment  It happens sometimes that many great scientists and doctors do not focus on lesser known books as they are mostly busy with famous books   Book name  Zoology  Writer  Dr  Ramesh Gupta  Page No         Friends  this is not fake news so I request you to kindly share it maximum so all coronavirus patients are treated in time    ,"['whatsapp', 'forward', 'claimed', 'vaccine', 'coronavirus', 'discovered', 'also', 'claim', 'treatment', 'coronavirus', 'mentioned', 'india', 'intermediate', 'zoology', 'book', 'viral', 'forward', 'read', 'disease', 'already', 'mentioned', 'intermediate', 'zoology', 'book', 'along', 'treatment', 'happens', 'sometimes', 'many', 'great', 'scientist', 'doctor', 'focus', 'lesser', 'known', 'book', 'mostly', 'busy', 'famous', 'book', 'book', 'name', 'zoology', 'writer', 'ramesh', 'gupta', 'page', 'friend', 'fake', 'news', 'request', 'kindly', 'share', 'maximum', 'coronavirus', 'patient', 'treated', 'time']"
509,The mayor of Guayaquil in Ecuador lied about her health condition  ,"['mayor', 'guayaquil', 'ecuador', 'lied', 'health', 'condition']"
510,The Health Minister in Ecuador quit her job because she was forced to lie about the statistics of COVID    related cases   ,"['health', 'minister', 'ecuador', 'quit', 'forced', 'statistic', 'covid', 'related', 'case']"
511,The president of Ecuador doesn t ask for help to China because of the IMF  ,"['president', 'ecuador', 'help', 'china']"
512,Whatsapp audio ensures there will be a    hour curfew for   days in Ecuador   ,"['whatsapp', 'ensures', 'hour', 'curfew', 'ecuador']"
513,Fake Twitter account of the Ecuadorean Health Ministry   ,"['fake', 'twitter', 'account', 'ecuadorean', 'health', 'ministry']"
514,People are still shopping in malls in spite of the curfew and mobility restrictions in Ecuador   ,"['people', 'still', 'shopping', 'mall', 'spite', 'curfew', 'mobility', 'restriction', 'ecuador']"
515,The vaccine that China is testing for COVID    is bad for humans   ,"['vaccine', 'china', 'testing', 'covid', 'human']"
516,An image encourages people to stay home and not go out to terraces or balconies    ,"['image', 'encourages', 'people', 'stay', 'home', 'terrace', 'balcony']"
517,Because of the global quarantine  the WHO and the Ecuadorian government have given a weekly bonus to each family for food and medicine   ,"['because', 'global', 'quarantine', 'ecuadorian', 'government', 'given', 'weekly', 'bonus', 'family', 'food', 'medicine']"
518,Ecuadorian government gives money to people from Venezuela   ,"['ecuadorian', 'government', 'give', 'money', 'people', 'venezuela']"
519,Multiple posts on Facebook and Twitter claim the WHO has warned against eating cabbage during the novel coronavirus pandemic   ,"['multiple', 'post', 'facebook', 'twitter', 'claim', 'warned', 'eating', 'cabbage', 'novel', 'coronavirus', 'pandemic']"
520,An image has been shared multiple times on Facebook in Liberia in support of a claim that pastors were beaten for defying government restrictions on religious gatherings amid the novel coronavirus outbreak   ,"['image', 'shared', 'multiple', 'time', 'facebook', 'liberia', 'support', 'claim', 'pastor', 'beaten', 'defying', 'government', 'restriction', 'religious', 'gathering', 'amid', 'novel', 'coronavirus', 'outbreak']"
521,Whether    Democrats voted against coronavirus stimulus bill   ,"['whether', 'democrat', 'voted', 'coronavirus', 'stimulus', 'bill']"
522,Russian President Putin released     lions onto the streets to keep people indoors   ,"['russian', 'president', 'putin', 'released', 'lion', 'onto', 'street', 'keep', 'people', 'indoors']"
523,Getting a flu shot increases the risk of coronavirus by       ,"['getting', 'shot', 'increase', 'risk', 'coronavirus']"
524,President Trump refers to the coronavirus as a hoax in an audio clip   ,"['president', 'trump', 'refers', 'coronavirus', 'hoax']"
525,Does vaping reduce your chances of getting the coronavirus   ,"['vaping', 'reduce', 'chance', 'getting', 'coronavirus']"
526,Russian president using lions to ensure people stayed indoors in Russia   ,"['russian', 'president', 'using', 'lion', 'ensure', 'people', 'stayed', 'indoors', 'russia']"
527,Channel   s Jon Snow is infected with coronavirus   ,"['channel', 'snow', 'infected', 'coronavirus']"
528,Initial lack of evidence for human to human COVID    transmission unusual   ,"['initial', 'lack', 'evidence', 'human', 'human', 'covid', 'transmission', 'unusual']"
529,Tom Hanks died  confessed admiration for Trump   ,"['hank', 'died', 'confessed', 'admiration', 'trump']"
530,Helicopters Are Spraying Disinfectants To Try To Eradicate Coronavirus   ,"['helicopter', 'spraying', 'disinfectant', 'eradicate', 'coronavirus']"
531,Photographs of the Army in Dublin city centre show that the country is about to go into lockdown   ,"['photograph', 'army', 'dublin', 'city', 'centre', 'show', 'country', 'lockdown']"
532, Boil some orange peels with cayenne pepper  stand over the pot  breathe in the steam so all mucus can be released from your nasal passages   Mucus is the problem  it s where the virus lives    ,"['boil', 'orange', 'peel', 'cayenne', 'pepper', 'stand', 'breathe', 'steam', 'mucus', 'released', 'nasal', 'passage', 'mucus', 'problem', 'virus', 'life']"
533,Coronavirus is infectious in the air for   hours and everyone must wear a face mask   ,"['coronavirus', 'infectious', 'hour', 'everyone', 'must', 'wear', 'face', 'mask']"
534,An image has been shared thousands of times in multiple posts on Facebook alongside a claim that it shows a medicine created by U S  scientists that can cure the novel coronavirus   ,"['image', 'shared', 'thousand', 'time', 'multiple', 'post', 'facebook', 'alongside', 'claim', 'show', 'medicine', 'created', 'scientist', 'cure', 'novel', 'coronavirus']"
535,A photo has been shared hundreds of times in multiple Facebook  Twitter and Instagram posts alongside a claim that it shows Italy s president crying over the novel coronavirus epidemic that has claimed thousands of lives in his country   ,"['shared', 'hundred', 'time', 'multiple', 'facebook', 'twitter', 'instagram', 'post', 'alongside', 'claim', 'show', 'italy', 'president', 'novel', 'coronavirus', 'epidemic', 'claimed', 'thousand', 'life', 'country']"
536,A video shared thousands of times on Facebook claims to show police in Zimbabwe beating churchgoers because their place of worship refused to close to prevent the spread of COVID      ,"['shared', 'thousand', 'time', 'facebook', 'claim', 'show', 'police', 'zimbabwe', 'beating', 'churchgoer', 'place', 'worship', 'refused', 'close', 'prevent', 'spread', 'covid']"
537,A purported emergency notice from Australian authorities has been shared hundreds of times in multiple posts on Facebook and Twitter  It states people can receive free home visits from doctors during the novel coronavirus pandemic   ,"['purported', 'emergency', 'notice', 'australian', 'authority', 'shared', 'hundred', 'time', 'multiple', 'post', 'facebook', 'twitter', 'state', 'people', 'receive', 'free', 'home', 'visit', 'doctor', 'novel', 'coronavirus', 'pandemic']"
538,A viral WhatsApp voice note in Nigeria claims that the coronavirus could kill up to    million Nigerians   ,"['viral', 'whatsapp', 'voice', 'note', 'nigeria', 'claim', 'coronavirus', 'could', 'kill', 'million', 'nigerian']"
539,Photo of the  crying president of Italy  with a caption stating Italy was not prepared to deal with the coronavirus outbreak despite having adequate health facilities   ,"['photo', 'president', 'italy', 'caption', 'stating', 'italy', 'prepared', 'deal', 'coronavirus', 'outbreak', 'despite', 'adequate', 'health', 'facility']"
540,Prime Minister Narendra Modi announced a    hour curfew as the virus lives for    hours on surfaces   ,"['prime', 'minister', 'narendra', 'modi', 'announced', 'hour', 'curfew', 'virus', 'life', 'hour', 'surface']"
